No.Inscripción,comentarios,Nombre,TIPO,LOCALIDAD,DIRECCIÓN,UPZ,TELEFONO,FECHA-DE- INSCRIPCION
455,,JARDÍN SOCIAL NEBRASKA,JS,USME,KR 16 C ESTE 66 I 70 SUR,DANUBIO,7646292,2/03/2007456,,JARDÍN INFANTIL LA CABAÑA,JSDIS,BOSA,KR 90 B 56 G 20 SUR,EL PORVENIR,7302803,2/03/2007
456,,JARDÍN INFANTIL LA CABAÑA,JSDIS,BOSA,KR 90 B 56 G 20 SUR,EL PORVENIR,7302803,2/03/2007457,,JARDÍN INFANTIL SALACUNA PRIMAVERA Y GORGONZOLA,JSDIS,PUENTE ARANDA,CL 4 D 40 55,"CIUDAD MONTES",3605807 - 3511990,2/03/2007
457,,JARDÍN INFANTIL SALACUNA PRIMAVERA Y GORGONZOLA,JSDIS,PUENTE ARANDA,CL 4 D 40 55,"CIUDAD MONTES",3605807 - 3511990,2/03/2007458,,J.S. LA ESPERANZA,JS,BOSA,KR 80 J 76 38 SUR,BOSA CENTRAL,7195177,2/03/2007
458,,J.S. LA ESPERANZA,JS,BOSA,KR 80 J 76 38 SUR,BOSA CENTRAL,7195177,2/03/2007459,,JARDÍN INFANTIL PEQUEÑOS GIGANTES,JSDIS,BOSA,KR 89 52 B 61 SUR,"BOSA OCCIDENTAL",7851880,2/03/2007
459,,JARDÍN INFANTIL PEQUEÑOS GIGANTES,JSDIS,BOSA,KR 89 52 B 61 SUR,"BOSA OCCIDENTAL",7851880,2/03/2007460,,JARDÍN INFANTIL J.S. SAN JERONIMO DEL YUSTE,JS,SAN CRISTÓBAL,CL 14 SUR 23 44 ESTE,SAN BLAS,3373176,2/03/2007
460,,JARDÍN INFANTIL J.S. SAN JERONIMO DEL YUSTE,JS,SAN CRISTÓBAL,CL 14 SUR 23 44 ESTE,SAN BLAS,3373176,2/03/2007461,,J.S. EL PARAISO,JS,CIUDAD BOLÍVAR,KR 27 L 71 G 14 SUR,LUCERO,7903238,2/03/2007
461,,J.S. EL PARAISO,JS,CIUDAD BOLÍVAR,KR 27 L 71 G 14 SUR,LUCERO,7903238,2/03/2007462,,JARDÍN INFANTIL ISRAELITA,JSDIS,BOSA,KR 78 C 73 B 15 SUR,BOSA CENTRAL,7796090 - 7802755,2/03/2007
462,,JARDÍN INFANTIL ISRAELITA,JSDIS,BOSA,KR 78 C 73 B 15 SUR,BOSA CENTRAL,7796090 - 7802755,2/03/2007463,,JARDÍN INFANTIL SAN CAYETANO,JSDIS,SUBA,KR 93 F 127 B 46,EL RINCÓN,5369132 - 6812981,2/03/2007
463,,JARDÍN INFANTIL SAN CAYETANO,JSDIS,SUBA,KR 93 F 127 B 46,EL RINCÓN,5369132 - 6812981,2/03/2007466,,JARDÍN INFANTIL PABLO DE TARSO,JSDIS,TUNJUELITO,"DG 48 SUR 51 D 57 (DG 49 D SUR 48 63)",VENECIA,7241136 - 7411011,2/03/2007
466,,JARDÍN INFANTIL PABLO DE TARSO,JSDIS,TUNJUELITO,"DG 48 SUR 51 D 57 (DG 49 D SUR 48 63)",VENECIA,7241136 - 7411011,2/03/2007467,,J.S. BUENAVISTA,JS,CIUDAD BOLÍVAR,CL 78 SUR 17 F 80,EL TESORO,7913956,2/03/2007
467,,J.S. BUENAVISTA,JS,CIUDAD BOLÍVAR,CL 78 SUR 17 F 80,EL TESORO,7913956,2/03/2007468,,JARDÍN INFANTIL LOS CEREZOS,JSDIS,ENGATIVÁ,KR 89 80 35,"EL MINUTO DE DIOS",2248177 - 2248175,2/03/2007
468,,JARDÍN INFANTIL LOS CEREZOS,JSDIS,ENGATIVÁ,KR 89 80 35,"EL MINUTO DE DIOS",2248177 - 2248175,2/03/2007469,,JARDÍN INFANTIL LA CABAÑA,JSDIS,FONTIBÓN,KR 104 A BIS 23 G 19,FONTIBÓN,4151723,2/03/2007
469,,JARDÍN INFANTIL LA CABAÑA,JSDIS,FONTIBÓN,KR 104 A BIS 23 G 19,FONTIBÓN,4151723,2/03/2007472,,JARDÍN INFANTIL TINTALITO,JSDIS,KENNEDY,KR 86 B 42 F 03 SUR,PATIO BONITO,7652606 - 3185591246,2/03/2007
472,,JARDÍN INFANTIL TINTALITO,JSDIS,KENNEDY,KR 86 B 42 F 03 SUR,PATIO BONITO,7652606 - 3185591246,2/03/2007473,,JARDÍN INFANTIL ALCALA MUZU,JSDIS,PUENTE ARANDA,KR 52 37 05 SUR,MUZÚ,2770609 - 7106539,2/03/2007
473,,JARDÍN INFANTIL ALCALA MUZU,JSDIS,PUENTE ARANDA,KR 52 37 05 SUR,MUZÚ,2770609 - 7106539,2/03/2007474,,JARDÍN INFANTIL VILLA RICA,JSDIS,KENNEDY,KR 77 K BIS 50 64 SUR,TIMIZA,7106539 - 4503687,2/03/2007
474,,JARDÍN INFANTIL VILLA RICA,JSDIS,KENNEDY,KR 77 K BIS 50 64 SUR,TIMIZA,7106539 - 4503687,2/03/2007475,,JARDÍN INFANTIL SATÉLITE PRIMAVERA,JSDIS,PUENTE ARANDA,KR 41 B 5 57,CIUDAD MONTES,2771672,2/03/2007
475,,JARDÍN INFANTIL SATÉLITE PRIMAVERA,JSDIS,PUENTE ARANDA,KR 41 B 5 57,CIUDAD MONTES,2771672,2/03/2007476,,JARDÍN INFANTIL LOS TIMANQUITOS,JSDIS,SUBA,CL 133 BIS 126 37,TIBABUYES,4607424 - 6907424,2/03/2007
476,,JARDÍN INFANTIL LOS TIMANQUITOS,JSDIS,SUBA,CL 133 BIS 126 37,TIBABUYES,4607424 - 6907424,2/03/2007478,,JARDÍN INFANTIL BARLOVENTO,JSDIS,CIUDAD BOLÍVAR,CL 62 B SUR 71 H 24,"ISMAEL PERDOMO",7769061 - 3123628643,2/03/2007
478,,JARDÍN INFANTIL BARLOVENTO,JSDIS,CIUDAD BOLÍVAR,CL 62 B SUR 71 H 24,"ISMAEL PERDOMO",7769061 - 3123628643,2/03/2007479,,JARDÍN INFANTIL PLAZUELAS DEL VIRREY,JSDIS,ENGATIVÁ,CL 72 A 106 91,GARCÉS NAVAS,4334831,2/03/2007
479,,JARDÍN INFANTIL PLAZUELAS DEL VIRREY,JSDIS,ENGATIVÁ,CL 72 A 106 91,GARCÉS NAVAS,4334831,2/03/2007480,,JARDÍN INFANTIL NUEVOS TIMANQUITOS,JSDIS,SUBA,KR 125 B 132 B 51,TIBABUYES,6080572,2/03/2007
